DOI,DID,yyyy,mm,dd,hh,min,timezone,xyear,LatDir,NSflag,LatD,LatM,LatS,LatDecimal,LongDir,EWflag,LongD,LongM,LongS,LongDecimal,altdepflag,altdep,Unit_altdep,sample type,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,sample_type2,name_river,river_code_MLT,Correction_Periods,Unit_Periods,Weight,Unit_Weight,SSA,Unit_SSA,Median_D50,Unit_Median,Site_Number
10.34355/CRiED.U.Tsukuba.00020,51,2011,6,27,12,0,JST,2011.4879,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"57,515 ","2,500 ",Bq kg-1,134Cs,=,"48,978 ","2,705 ",Bq kg-1,river,Kuchibuto,W8202010130,7,Day,0.505 ,g,0.3181 ,m2 g-1,31.3 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,52,2011,7,6,12,0,JST,2011.513699,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"33,182 ","1,104 ",Bq kg-1,134Cs,=,"28,172 ","1,100 ",Bq kg-1,river,Kuchibuto,W8202010130,9,Day,3.008 ,g,0.6004 ,m2 g-1,23.6 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,53,2011,7,12,12,0,JST,2011.530137,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"34,470 ","1,425 ",Bq kg-1,134Cs,=,"29,515 ","1,460 ",Bq kg-1,river,Kuchibuto,W8202010130,6,Day,2.715 ,g,0.4463 ,m2 g-1,26.3 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,54,2011,7,20,12,0,JST,2011.552055,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"35,776 ","1,676 ",Bq kg-1,134Cs,=,"32,986 ","1,754 ",Bq kg-1,river,Kuchibuto,W8202010130,8,Day,2.934 ,g,0.4631 ,m2 g-1,27.2 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,55,2011,7,25,12,0,JST,2011.565753,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"41,256 ","1,605 ",Bq kg-1,134Cs,=,"32,932 ","1,580 ",Bq kg-1,river,Kuchibuto,W8202010130,5,Day,1.866 ,g,0.3210 ,m2 g-1,32.4 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,56,2011,8,1,12,0,JST,2011.583333,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"34,065 ","1,372 ",Bq kg-1,134Cs,=,"29,015 ","1,385 ",Bq kg-1,river,Kuchibuto,W8202010130,7,Day,3.097 ,g,0.4441 ,m2 g-1,26.1 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,57,2011,8,9,12,0,JST,2011.605251,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"29,187 ",614 ,Bq kg-1,134Cs,=,"23,660 ",608 ,Bq kg-1,river,Kuchibuto,W8202010130,8,Day,2.765 ,g,0.4745 ,m2 g-1,23.7 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,58,2011,8,16,12,0,JST,2011.624429,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"36,794 ","1,357 ",Bq kg-1,134Cs,=,"28,195 ","1,287 ",Bq kg-1,river,Kuchibuto,W8202010130,7,Day,2.370 ,g,0.3645 ,m2 g-1,27.6 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,59,2011,8,24,12,0,JST,2011.646347,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"20,182 ",423 ,Bq kg-1,134Cs,=,"16,177 ",520 ,Bq kg-1,river,Kuchibuto,W8202010130,8,Day,3.429 ,g,0.4322 ,m2 g-1,34.5 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,60,2011,8,30,12,0,JST,2011.662785,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"29,004 ",172 ,Bq kg-1,134Cs,=,"24,802 ",205 ,Bq kg-1,river,Kuchibuto,W8202010130,6,Day,3.060 ,g,0.5674 ,m2 g-1,23.4 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,61,2011,9,10,12,0,JST,2011.691324,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"30,890 ","1,363 ",Bq kg-1,134Cs,=,"22,846 ","1,621 ",Bq kg-1,river,Kuchibuto,W8202010130,11,Day,3.077 ,g,0.3341 ,m2 g-1,22.8 ,É m,2
10.34355/CRiED.U.Tsukuba.00020,62,2011,9,17,12,0,JST,2011.710502,N,1,37,35,27,37.59083333,E,1,140,41,18,140.6883333,1,513.5,m,Suspended Matter,137Cs,=,"32,751 ","1,122 ",Bq kg-1,134Cs,=,"28,214 ","1,463 ",Bq kg-1,river,Kuchibuto,W8202010130,7,Day,0.150 ,g,0.4523 ,m2 g-1,34.4 ,É m,2
